127.0.0.1 - - [23/Sep/2023:15:02:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:02:12 +0900] "GET /TodoTeamProject/home HTTP/1.1" 200 3123
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:02:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:10:33 +0900] "GET /TodoTeamProject/login.do? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:10:33 +0900] "GET /TodoTeamProject/login HTTP/1.1" 200 3369
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:10:38 +0900] "POST /TodoTeamProject/login HTTP/1.1" 200 3450
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:10:41 +0900] "GET /TodoTeamProject/reg? HTTP/1.1" 200 3545
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:10:57 +0900] "POST /TodoTeamProject/reg HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:11:07 +0900] "POST /TodoTeamProject/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:11:07 +0900] "GET /TodoTeamProject/main.do HTTP/1.1" 200 28146
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:11:08 +0900] "GET /TodoTeamProject/mainData HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:11:23 +0900] "POST /TodoTeamProject/register HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:11:23 +0900] "GET /TodoTeamProject/mainData HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:11:27 +0900] "POST /TodoTeamProject/register HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:11:27 +0900] "GET /TodoTeamProject/mainData HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:11:29 +0900] "POST /TodoTeamProject/register HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:11:29 +0900] "GET /TodoTeamProject/mainData HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:11:35 +0900] "POST /TodoTeamProject/register HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:11:35 +0900] "GET /TodoTeamProject/mainData HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:11:41 +0900] "POST /TodoTeamProject/register HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:11:41 +0900] "GET /TodoTeamProject/mainData HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:11:44 +0900] "POST /TodoTeamProject/updateStarflag HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:11:44 +0900] "GET /TodoTeamProject/main.do HTTP/1.1" 200 28146
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:11:45 +0900] "GET /TodoTeamProject/mainData HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:11:48 +0900] "GET /TodoTeamProject/starData HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:11:51 +0900] "GET /TodoTeamProject/main.do HTTP/1.1" 200 28146
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:11:51 +0900] "GET /TodoTeamProject/mainData HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:12:15 +0900] "POST /TodoTeamProject/searchtest HTTP/1.1" 200 28146
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:12:15 +0900] "GET /TodoTeamProject/mainData HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [23/Sep/2023:15:12:21 +0900] "POST /TodoTeamProject/searchtest HTTP/1.1" 200 28385
